"","KeyID","Latitude","Longitude","Elevation","Rep","Year","GddCum","DggWyr","CMI","P","PET","TMaxMean","TMinMean","summerPPT","DataType","row_index","location"
"41","site_41",52.99,-118.058,1020,0,2013,706.9,1212.2,-23.4804,32.67,56.1504,9.74916,-3.90157,12.46,"Real_Data",41,"Jasper"
"42","site_42",52.99,-118.058,1020,0,2014,726.55,1286.35,-31.9314,28.71,60.6414,10.4209,-4.06316,13.17,"Real_Data",42,"Jasper"
"43","site_43",52.99,-118.058,1020,0,2015,823.2,1425.65,-29.8014,35.1,64.9014,11.8893,-2.45111,11.66,"Real_Data",43,"Jasper"
"44","site_44",52.99,-118.058,1020,0,2016,797.85,1284.5,-26.002,34.08,60.082,11.4504,-2.29979,10.35,"Real_Data",44,"Jasper"
"45","site_45",52.99,-118.058,1020,0,2017,749.55,1234.05,-17.4495,40.58,58.0295,9.86906,-3.6343,17.9,"Real_Data",45,"Jasper"
"46","site_46",52.99,-118.058,1020,0,2018,799.3,1311.75,-18.2655,41.28,59.5455,10.1722,-4.2849,11.31,"Real_Data",46,"Jasper"
"47","site_47",52.99,-118.058,1020,0,2019,648.1,1022.1,-4.94078,42.13,47.0708,9.46178,-4.69155,17.83,"Real_Data",47,"Jasper"
"48","site_48",52.99,-118.058,1020,0,2020,640.75,1094.45,-0.637666,46.12,46.7577,9.20477,-4.19307,13.69,"Real_Data",48,"Jasper"
"49","site_49",52.99,-118.058,1020,0,2021,839.25,1402.9,-32.0973,29.88,61.9773,11.3429,-3.01606,9.36,"Real_Data",49,"Jasper"
"50","site_50",52.99,-118.058,1020,0,2022,643.4,1124.45,-13.0238,39.57,52.5938,9.71199,-3.78933,10.72,"Real_Data",50,"Jasper"
"51","site_51",52.99,-118.058,1020,0,2023,871.05,1568.8,-28.015,43.38,71.395,11.6522,-4.4038,23.58,"Real_Data",51,"Jasper"
"52","site_52",52.99,-118.058,1020,0,2024,698.5,1246.25,-27.7904,32.45,60.2404,11.5824,-3.08046,10.38,"Real_Data",52,"Jasper"
